"obs_id","study_id","model","prescience_score","confidence","rationale","scored_at","scorer_version","source_pass","elapsed_sec","parse_ok"
"ra-indbpinrevlog-rg-3865-b61078-OBS-027","ra-indbpinrevlog-rg-3865-b61078","claude-sonnet-4.6","2","2","Blue Coat Systems at $200M in 2007 grew to roughly $500M before being acquired by Thoma Bravo (2011) and later Symantec (2016) for $4.65B. The ""secure content and application delivery"" framing was reasonable but the company's pivot into SWG/CASB and eventual absorption into Broadcom Symantec means the standalone-vendor framing didn't age well.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ra-indbpinrevlog-rg-3865-b61078-OBS-012","ra-indbpinrevlog-rg-3865-b61078","claude-sonnet-4.6","0","3","Pre-filter-equivalent: methodology definition of Best-in-Class scoring tiers (top 20%/middle 50%/bottom 30%), not a testable claim about technology or markets.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ra-indbpinrevlog-rg-3865-b61078-OBS-007","ra-indbpinrevlog-rg-3865-b61078","claude-sonnet-4.6","4","3","Duplicate of OBS-020 finding; high-tech and telecom leadership in reverse logistics measurement held through the 2010s. By 2026 the gap has narrowed as omnichannel retail forced measurement maturity industry-wide.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ra-indbpinrevlog-rg-3865-b61078-OBS-002","ra-indbpinrevlog-rg-3865-b61078","claude-sonnet-4.6","0","2","Methodology statement (""this study takes a vertical look at reverse logistics"") rather than a testable prediction. No specific claim to assess.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ra-indbpinrevlog-rg-3865-b61078-OBS-037","ra-indbpinrevlog-rg-3865-b61078","claude-sonnet-4.6","-1","1","Pre-filter: figure caption only, image content preserved separately in archive images.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ra-indbpinrevlog-rg-3865-b61078-OBS-022","ra-indbpinrevlog-rg-3865-b61078","claude-sonnet-4.6","3","2","2007 claim that ""nearly half"" of high-tech firms shared returns data with value-chain partners was forward-leaning for its era; by 2015-2020 this became standard via EDI and supplier portals, but the 50% adoption figure for systematic sharing remained roughly accurate even a decade later as long-tail suppliers lagged.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ra-indbpinrevlog-rg-3865-b61078-OBS-033","ra-indbpinrevlog-rg-3865-b61078","claude-sonnet-4.6","-1","1","Pre-filter: figure caption only.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ra-indbpinrevlog-rg-3865-b61078-OBS-047","ra-indbpinrevlog-rg-3865-b61078","claude-sonnet-4.6","0","1","Survey geography breakdown (NA 56%, EU 21%, APAC 14%, etc.) is sample-methodology metadata, not a forward claim. Cannot assess for prescience.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ra-indbpinrevlog-rg-3865-b61078-OBS-041","ra-indbpinrevlog-rg-3865-b61078","claude-sonnet-4.6","3","2","Specific operational metric (15 days outstanding for reverse-loop parts, one-month field inventory) was a best-practice benchmark in 2007. Through the 2010s lean spare-parts management pushed best-in-class days-outstanding lower (often 7-10 days), so the 15-day target became laggard rather than leader by 2020.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-dell-ars-white-paper-prod-7-11m-343063-OBS-030","written-dell-ars-white-paper-prod-7-11m-343063","claude-sonnet-4.6","3","2","2003 estimate of $126/disk cleansing cost reflected manual-process economics. By 2010 secure-erase automation (NIST 800-88, vendor tools like Blancco) and improved degaussing dropped per-disk cost dramatically; by 2020 cloud-era data sanitization shifted economics to per-asset rather than per-disk. The $126 figure was specific and largely held for traditional on-premise disposal through ~2010.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-dell-ars-white-paper-prod-7-11m-343063-OBS-009","written-dell-ars-white-paper-prod-7-11m-343063","claude-sonnet-4.6","3","2","Same $126/drive cleansing claim for large enterprises. Held through mid-2000s; by 2015 automation and outsourced ITAD providers (Iron Mountain, Sims Lifecycle) compressed unit costs significantly.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-dell-ars-white-paper-prod-7-11m-343063-OBS-003","written-dell-ars-white-paper-prod-7-11m-343063","claude-sonnet-4.6","4","3","2003 claim that PC disposal costs exceeded 25% of acquisition cost and were climbing aged well. WEEE directive (EU 2003) and state-level e-waste laws (California 2003, expanding through 2010s) pushed compliance costs higher; data destruction requirements under HIPAA/GLBA/state breach laws added further cost, validating ""and climbing.""","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-dell-ars-white-paper-prod-7-11m-343063-OBS-023","written-dell-ars-white-paper-prod-7-11m-343063","claude-sonnet-4.6","3","2","Specific Dell ARS pricing ($30 packing + service = $79 total) is a vendor-specific cost claim. Dell ARS evolved into Dell Asset Recovery Services and pricing structure shifted to volume contracts; the $79 figure is hard to validate but the bundled-service model became industry standard.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-dell-ars-white-paper-prod-7-11m-343063-OBS-028","written-dell-ars-white-paper-prod-7-11m-343063","claude-sonnet-4.6","4","2","2003 prediction of $1.9M annual disposal cost for 5,000 devices without a plan, plus public-scrutiny risk, aged well. High-profile data breaches from improperly disposed drives (Morgan Stanley 2016 SEC fine, NHS hard drives, etc.) validated both cost and reputational warnings.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-dell-ars-white-paper-prod-7-11m-343063-OBS-006","written-dell-ars-white-paper-prod-7-11m-343063","claude-sonnet-4.6","0","1","Fragmentary header text (""Identity cleansing $2"") with no coherent claim. Cannot assess.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-dell-ars-white-paper-prod-7-11m-343063-OBS-029","written-dell-ars-white-paper-prod-7-11m-343063","claude-sonnet-4.6","4","2","2003 claim that disposal plans save $1M-$10M annually for large enterprises plus brand benefit was prescient; by 2010-2015 sustainability and circular-economy positioning became material to corporate reputation (Dell's own Closed Loop program, HP planet partners), validating the dual financial+brand thesis.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-dell-ars-white-paper-prod-7-11m-343063-OBS-008","written-dell-ars-white-paper-prod-7-11m-343063","claude-sonnet-4.6","3","2","2003 cost-range $16-$185 per disk cleansing with automation justifying the low end was a credible operational claim. Industry trajectory followed: high-volume ITAD providers achieved sub-$20 per-drive economics by 2010, validating the automation/volume thesis.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-dell-ars-white-paper-prod-7-11m-343063-OBS-001","written-dell-ars-white-paper-prod-7-11m-343063","claude-sonnet-4.6","2","2","2003 claim that storage+depreciation of a 36-month-old Pentium III cost $368/year captured the holding-cost economics that drove the 3-year refresh cycle. By 2010 PC lifecycle extended to 4-5 years and depreciation curves flattened; the specific dollar figure didn't translate forward but the underlying ""holding-an-old-PC-costs-real-money"" framing held.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-dell-ars-white-paper-prod-7-11m-343063-OBS-026","written-dell-ars-white-paper-prod-7-11m-343063","claude-sonnet-4.6","3","2","Dell's $49/unit e-waste pickup regardless of manufacturer was a real 2003 service. Dell continued and expanded this program; by 2014 Dell offered free residential pickup. The pricing didn't hold (became free for many tiers) but the business model and Dell's ongoing leadership in e-waste recovery validated the offering.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ra-web-site-search-3910-5f9297-OBS-048","ra-web-site-search-3910-5f9297","claude-sonnet-4.6","3","2","2007 claim that 46% of e-commerce respondents struggled to manage site search aged reasonably; Forrester and Baymard research through 2015-2020 continued to find 40-50% of e-commerce sites had ""poor"" or ""mediocre"" search. The struggle persisted into the AI-search era (vector search, semantic retrieval) where the percentage may have ticked up due to rising sophistication expectations.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ra-web-site-search-3910-5f9297-OBS-067","ra-web-site-search-3910-5f9297","claude-sonnet-4.6","4","2","2007 prediction that Best-in-Class merchants would pioneer site-search improvements held; Amazon, Wayfair, and large specialty retailers led the development of intent-driven search and predictive merchandising through the 2010s. Vector-search and LLM-augmented retrieval (2023-2026) extended this pioneer dynamic to the AI era.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ra-web-site-search-3910-5f9297-OBS-070","ra-web-site-search-3910-5f9297","claude-sonnet-4.6","0","1","Survey sample breakdown by store size (Big Box 3%, Small Box 5%) is methodology metadata, not a forward claim.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ra-web-site-search-3910-5f9297-OBS-064","ra-web-site-search-3910-5f9297","claude-sonnet-4.6","4","3","2007 claims that 72% of Best-in-Class used search data for SEO and 64% for marketing campaigns, plus 100% reported satisfaction gains, foreshadowed the integrated-analytics era. By 2015 the marketing/search analytics convergence was complete (Google Search Console + Analytics, Adobe Target, customer data platforms), and ""data-driven CX"" became table stakes — validating the leadership-driven adoption pattern.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ra-web-site-search-3910-5f9297-OBS-020","ra-web-site-search-3910-5f9297","claude-sonnet-4.6","4","3","2007 claim that 58% of e-commerce respondents used internal SEO techniques captured the moment SEO transitioned from niche to mainstream marketing function. By 2010-2015 essentially all e-commerce had dedicated SEO; the 58% figure represented an inflection point with the trajectory continuing strongly upward.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ra-web-site-search-3910-5f9297-OBS-015","ra-web-site-search-3910-5f9297","claude-sonnet-4.6","-1","1","Pre-filter: figure caption only.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ra-web-site-search-3910-5f9297-OBS-007","ra-web-site-search-3910-5f9297","claude-sonnet-4.6","4","2","2007 claim that 60% of search-tracking companies achieved 5%+ search-to-buyer conversion was directionally prescient for the era; by 2015-2020 search-converters consistently outperformed browse-only sessions by 2-5x conversion rates (Baymard, Adobe Digital Insights), validating search as the highest-intent on-site signal.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ra-web-site-search-3910-5f9297-OBS-033","ra-web-site-search-3910-5f9297","claude-sonnet-4.6","3","2","2007 claim that 52% of Best-in-Class extensively used search-derived metrics enterprise-wide was forward-leaning; by 2015 cross-functional use of search data (merchandising, marketing, product) became standard among digital leaders, but extending ""enterprise-wide"" (operations, finance) remained patchy through 2020.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ra-web-site-search-3910-5f9297-OBS-012","ra-web-site-search-3910-5f9297","claude-sonnet-4.6","2","2","Vague claim about ""1-25%"" year-over-year improvement ranges across KPIs is too broad to test rigorously. The Best-in-Class/Average/Laggard tiering framework itself persisted but the specific improvement bands are unverifiable.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ra-web-site-search-3910-5f9297-OBS-040","ra-web-site-search-3910-5f9297","claude-sonnet-4.6","0","1","Pre-filter-equivalent: figure introduction text only (""respondents provided the answers in Figure 3""), no testable claim.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"callcenteroptimization-researchreport-rk-3503-0ea8b5-OBS-039","callcenteroptimization-researchreport-rk-3503-0ea8b5","claude-sonnet-4.6","-1","1","Pre-filter: picture-text dump (chart axis labels), image content preserved separately in archive.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"callcenteroptimization-researchreport-rk-3503-0ea8b5-OBS-035","callcenteroptimization-researchreport-rk-3503-0ea8b5","claude-sonnet-4.6","-1","1","Pre-filter: picture-text dump (chart axis labels), image content preserved separately.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"callcenteroptimization-researchreport-rk-3503-0ea8b5-OBS-038","callcenteroptimization-researchreport-rk-3503-0ea8b5","claude-sonnet-4.6","-1","1","Pre-filter: figure caption only.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"callcenteroptimization-researchreport-rk-3503-0ea8b5-OBS-052","callcenteroptimization-researchreport-rk-3503-0ea8b5","claude-sonnet-4.6","0","1","Survey company-size breakdown is methodology metadata, not a forward claim.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"callcenteroptimization-researchreport-rk-3503-0ea8b5-OBS-005","callcenteroptimization-researchreport-rk-3503-0ea8b5","claude-sonnet-4.6","4","3","2006 claim that best-in-class contact centers use rich performance data for cost cutting, revenue growth, CX improvement, and brand was directionally correct and durable. By 2015 contact-center-as-revenue-center thinking dominated (Genesys, NICE, Five9 positioning); by 2020 AI-driven analytics (Cresta, Observe.AI) fully validated the data-as-strategic-asset thesis.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"callcenteroptimization-researchreport-rk-3503-0ea8b5-OBS-009","callcenteroptimization-researchreport-rk-3503-0ea8b5","claude-sonnet-4.6","-1","1","Pre-filter: picture-text dump (bar chart labels), image content preserved separately.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"callcenteroptimization-researchreport-rk-3503-0ea8b5-OBS-020","callcenteroptimization-researchreport-rk-3503-0ea8b5","claude-sonnet-4.6","4","2","2006 claim that laggards could leapfrog by adopting VoIP and speech analytics aged well in direction; VoIP became universal by 2012-2015 and speech analytics matured into AI-driven conversation intelligence (Gong, Chorus, Observe.AI) creating real leapfrog opportunities for late adopters with modern cloud platforms.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"callcenteroptimization-researchreport-rk-3503-0ea8b5-OBS-043","callcenteroptimization-researchreport-rk-3503-0ea8b5","claude-sonnet-4.6","-1","1","Pre-filter: tautological exhortation with no testable claim.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"callcenteroptimization-researchreport-rk-3503-0ea8b5-OBS-013","callcenteroptimization-researchreport-rk-3503-0ea8b5","claude-sonnet-4.6","4","3","2006 claim that best-in-class measure thoroughly and often, regardless of technology, captured a durable principle. The rise of real-time dashboards, conversation analytics, and AI-driven QA (2015-2026) reinforced rather than overturned the measurement-discipline thesis.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"callcenteroptimization-researchreport-rk-3503-0ea8b5-OBS-030","callcenteroptimization-researchreport-rk-3503-0ea8b5","claude-sonnet-4.6","4","2","2006 specific claim of 72% shorter calls and $3.41 revenue vs $3.30 loss for proactive-vs-reactive contact centers anticipated the predictive-CX value proposition. By 2020 ""next best action"" and proactive engagement (Pega, Salesforce, Nice) demonstrated similar magnitude effects in published case studies, though the precise dollar figures aren't directly comparable.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"f-4q05-bp-intl-logistics-081905a-31c05c-OBS-001","f-4q05-bp-intl-logistics-081905a-31c05c","claude-sonnet-4.6","2","2","2005 framing of Best Practices in International Logistics via case-study format aged unevenly; the Best-in-Class methodology persisted at Aberdeen but the international-logistics specific assumptions (stable globalization, expanding free trade) were significantly disrupted by Brexit (2016-2020), US-China trade war (2018+), COVID supply shocks (2020-2022), and reshoring trends (2022-2026).","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"f-4q05-bp-intl-logistics-081905a-31c05c-OBS-002","f-4q05-bp-intl-logistics-081905a-31c05c","claude-sonnet-4.6","-1","1","Pre-filter: image content preserved separately, no textual claim.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"1q06-ff-bp-retail-transportation-081905a-192432-OBS-001","1q06-ff-bp-retail-transportation-081905a-192432","claude-sonnet-4.6","3","2","2006 Best Practices in Retail Transportation case-study format aged reasonably; retail transportation became a major focus area through Amazon/Walmart last-mile competition (2010-2020) and the rise of dedicated retail transportation tech (Convoy, Uber Freight, project44). The case-study methodology held but the 2006 best-practices specifics were largely superseded by digital freight matching and real-time visibility platforms.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"1q06-ff-bp-retail-transportation-081905a-192432-OBS-002","1q06-ff-bp-retail-transportation-081905a-192432","claude-sonnet-4.6","-1","1","Pre-filter: image content preserved separately.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"q206-custdatamgmt-cir-la-5060b3-OBS-002","q206-custdatamgmt-cir-la-5060b3","claude-sonnet-4.6","-1","1","Pre-filter: image content preserved separately.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"q206-custdatamgmt-cir-la-5060b3-OBS-001","q206-custdatamgmt-cir-la-5060b3","claude-sonnet-4.6","2","2","2006 framing question about Best-in-Class customer data management was prescient in topic — MDM, CDP, and customer 360 became major categories (Reltio, Tealium, Segment/Twilio) — but the question-form makes prescience scoring difficult. The underlying premise that customer data management would become a strategic differentiator was clearly correct.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"q106-svcnetopt-overview-cb1664-OBS-001","q106-svcnetopt-overview-cb1664","claude-sonnet-4.6","3","2","2006 claim that best-in-class companies use specific evaluation criteria for service-outsourcing partners was correct as a category claim. IT services sourcing matured significantly (TBM, vendor management offices, SIAM frameworks) but the specific criteria from 2006 (cost focus) shifted to outcomes/cloud-native by 2015-2020.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"q106-svcnetopt-overview-cb1664-OBS-002","q106-svcnetopt-overview-cb1664","claude-sonnet-4.6","-1","1","Pre-filter: image content preserved separately.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"fdic-washington-cs-1995-e3de67-OBS-003","fdic-washington-cs-1995-e3de67","claude-sonnet-4.6","4","3","1995 claim that NT BackOffice was a $500M business captured the early-stage scale of Microsoft's server push. NT BackOffice grew rapidly through the late 1990s into multi-billion-dollar Microsoft server franchises (Exchange, SQL Server, SMS); the $500M starting point and growth trajectory were credible and the franchise dominance materialized.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"fdic-washington-cs-1995-e3de67-OBS-002","fdic-washington-cs-1995-e3de67","claude-sonnet-4.6","3","2","1995 mention that ""just rejected $4 billion IBM offer"" likely refers to Lotus pre-IBM-acquisition negotiation (IBM acquired Lotus for $3.5B in mid-1995). The framing of the M&A landscape and IBM's enterprise-software ambitions aged well; IBM continued aggressive software acquisition through Tivoli (1996), Informix (2001), Rational (2003) to multi-billion-dollar deals.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-ma-unisyswipro-rs-3747-355001-OBS-003","written-ma-unisyswipro-rs-3747-355001","claude-sonnet-4.6","-1","1","Pre-filter: image content preserved separately.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-ma-unisyswipro-rs-3747-355001-OBS-002","written-ma-unisyswipro-rs-3747-355001","claude-sonnet-4.6","-1","1","Pre-filter: figure caption only.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"q406-endpointnac-66d658-OBS-004","q406-endpointnac-66d658","claude-sonnet-4.6","3","2","2006 framing of best-in-class endpoint NAC was directionally prescient — endpoint security matured significantly (Cisco ISE, Forescout, CrowdStrike, SentinelOne) — but the specific 2006 NAC architecture (802.1X-centric, network-enforcement-heavy) was largely superseded by Zero Trust and endpoint-agent-based models by 2018-2020.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"q406-endpointnac-66d658-OBS-001","q406-endpointnac-66d658","claude-sonnet-4.6","3","2","2006 statement of methods to address endpoint security and mitigate threats was correct as a frame; endpoint security became one of the largest cybersecurity categories ($15B+ by 2024). The specific 2006 NAC-centric framing aged less well than the broader endpoint-security thesis.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-snap-appliances-snapshot-10-15pk-a7b49c-OBS-002","written-snap-appliances-snapshot-10-15pk-a7b49c","claude-sonnet-4.6","-1","1","Pre-filter: image content preserved separately.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"written-snap-appliances-snapshot-10-15pk-a7b49c-OBS-001","written-snap-appliances-snapshot-10-15pk-a7b49c","claude-sonnet-4.6","2","2","2001 claim that Snap Server 4500 with 3TB raw capacity was ""best-in-class storage expansion"" was accurate for its niche moment but the product line was acquired by Adaptec (2002), then Overland Storage (2008), and the small-business NAS appliance category was disrupted by Synology, QNAP, and cloud storage. Snap Appliances effectively faded; 3TB became consumer-grade by 2010.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"q206-retailwfm-gb-e031a9-OBS-002","q206-retailwfm-gb-e031a9","claude-sonnet-4.6","4","3","2006 claim that 58% of retailers planned to update employee and store management technology aged well; the 2010s saw massive retail WFM investment (Kronos, Workday, Reflexis/Zebra) and by 2020 cloud-based WFM with mobile employee apps became standard. The 58% intention crystallized into broad market adoption.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"q206-retailwfm-gb-e031a9-OBS-001","q206-retailwfm-gb-e031a9","claude-sonnet-4.6","5","3","2006 claim that 42% of retailers still used manual scheduling captured the digital-transformation runway. By 2015-2020 modernization swept through retail (Reflexis acquired by Zebra for $575M in 2020, Kronos+Ultimate merged into UKG in 2020 valued at $22B), validating the massive opportunity implied by the 42% manual figure.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"09010006-f43488-OBS-001","09010006-f43488","claude-sonnet-4.6","4","3","2001 observation that HP spent $350M on StorageApps and Compaq was committed to VersaStor framed the early storage-virtualization land grab. StorageApps was absorbed into HP's storage portfolio and the broader vision of storage virtualization eventually materialized through VMware vSAN, Nutanix, and Pure Storage by 2015-2020 — though the specific HP/Compaq products didn't dominate.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"09010006-f43488-OBS-002","09010006-f43488","claude-sonnet-4.6","-1","1","Pre-filter: OCR-broken study-summary placeholder, no claim.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"2006-manufacturingagenda-9a368f-OBS-001","2006-manufacturingagenda-9a368f","claude-sonnet-4.6","5","3","2006 claim that best-in-class manufacturers used real-time process and equipment condition information for predictive failure detection was remarkably prescient. Industrial IoT, predictive maintenance (GE Predix, PTC ThingWorx, Siemens MindSphere), and AI-driven anomaly detection became central manufacturing themes 2015-2026, with predictive maintenance one of the most successful early IIoT use cases.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"2006-manufacturingagenda-9a368f-OBS-003","2006-manufacturingagenda-9a368f","claude-sonnet-4.6","-1","1","Pre-filter: image content preserved separately.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ibm-emcinsight-b4bde1-OBS-001","ibm-emcinsight-b4bde1","claude-sonnet-4.6","3","2","2001 observation that IBM and EMC each had enterprise and midrange storage lines (Figure 1) captured the duopoly framing of that era. Both retained dual-tier portfolios through 2010, but EMC was acquired by Dell (2016) becoming Dell EMC, and the broader midrange/enterprise split blurred with all-flash arrays and software-defined storage.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
"ibm-emcinsight-b4bde1-OBS-003","ibm-emcinsight-b4bde1","claude-sonnet-4.6","-1","1","Pre-filter: OCR-broken study-summary placeholder, no claim.","2026-05-29T22:13:00Z","cloud_v1","pass_c_cloud","0.0","true"
